id,name,ip,model,location,serial,mac,x,y,description
P_0001,ISS1-P00016,10.7.12.39, LaserJet E50145,Informatique,PHCBQ6V00Z,BC:0F:F3:2F:0C:E1,1020,664,
P_0002,ISS1-P00100,10.7.5.100, LaserJet Mngd E52645,RH - Infirmerie,NLCVND304X,,300,125,
P_0003,ISS1-P00102,10.7.5.102, LaserJet MFP E42540,Production - Réception,CNBRQ1L1H3,C0-18-03-01-50-9B,719,858,
P_0004,ISS1-P00107,10.7.5.107, LaserJet E50145,Conditionnement - Fila,PHCBQ6V00X,C8-5A-CF-86-7A-81,536,537,
P_0005,ISS1-P00129,10.7.5.129, LaserJet E50145,Logistique - ORDO 2,PHCBQB00JK,84-69-93-FB-20-9D,699,833,
P_0006,ISS1-P00013,10.7.5.13, LaserJet E40040,Extrusion 2,PHCGG03560,A identifier,724,241,
P_0007,ISS1-P00136,10.7.5.136, LaserJet MFP E42540,Poste de Garde,CNBRQ1L1LH,C0-18-03-01-40-D3,207,328,
P_0008,ISS1-P00014,10.7.5.14, Color LaserJet MFP E87760,RH,CNBBQD80H3,5C-60-BA-8F-E9-93,25,697,
P_0009,ISS1-P00015,10.7.5.15, LaserJet E50145,AQF,CND1Q4C03V,c0:18:03:52:12:71,536,835,
P_0010,ISS1-P00017,10.7.5.17, LaserJet E50145,Local Méthodes,PHCBQ6V00Y,C85ACF867AAB,828,899,
P_0011,ISS1-P00018,10.7.5.18, LaserJet MFP E73130,Prototype,CNBBR350XQ,3c:52:82:c3:5f:20,763,261,
P_0012,ISS1-P00019,10.7.5.19, Color LaserJet MFP E87760,P2 Aquarium,CNBBR300PG,7c:57:58:2c:d3:a9,250,240,
P_0013,ISS1-P00020,10.7.5.20, LaserJet MFP E42540,Malaxage,CNBRQ1L1L4,c8:d3:ff:ab:48:0d,103,593,
P_0014,ISS1-P00021,10.7.5.21, LaserJet E50145,Aquarium - Méthodes,PHCBQ6V00V,c8:5a:cf:86:7a:69,980,130,
P_0015,ISS1-P00025,10.7.5.25, Color LaserJet MFP E87760,Banane - Centre,CNBBR300QP,7c:57:58:51:2a:9f,920,160,
P_0016,ISS1-P00026,10.7.5.26, LaserJet E50145,CAO,PHCBQ6V00M,c8:5a:cf:86:8a:40,247,782,
P_0017,ISS1-P00027,10.7.5.27, Color LJ Mgd MFP E877dn,Labo,CNBBQD80HQ,38:ca:84:38:33:d8,920,130,
P_0018,ISS1-P00028,10.7.5.28, LaserJet MFP E42540,Quai Reilly,CNBRQ1L1LQ,c0:18:03:01:50:a0,950,160,
P_0019,ISS1-P00029,10.7.5.29, Color LaserJet E55040,Qualité,JPBBQ6X01Q,84:69:93:30:c0:98,940,80,
P_0020,ISS1-P00030,10.7.5.30, LJ Mgd E50145dnm,ORDO,PHCBQB00DC,84:69:93:fb:40:fd,140,884,
P_0021,ISS1-P00031,10.7.5.31, LaserJet MFP E82540,Magasin Local - Expédition,CNC1PDW01H,c8:5a:cf:85:ae:c5,86,545,
P_0022,ISS1-P00032,10.7.5.32, LaserJet E50145,Magasin Local - Expédition,PHCBQ6U084,c8:5a:cf:86:7a:66,797,732,
P_0023,ISS1-P00033,10.7.5.33, LaserJet E50145,FLATBLADE,PHCBQB00JL,84:69:93:fb:20:9a,709,725,
P_0024,ISS1-P00034,10.7.5.34, LaserJet MFP E42540,Logistique - MACO,CNBRQ1L1KV,c0:18:03:01:40:d1,650,725,
P_0025,ISS1-P00035,10.7.5.35, LJ Mgd E50145dnm,Aquarium - Logistique,PHCBQB00BZ,84:69:93:fc:80:22,347,792,
P_0026,ISS1-P00036,10.7.5.36, LaserJet MFP E72530,Aquarium - Logistique,CND1Q4C043,50:81:40:e9:79:9d,583,834,
P_0027,ISS1-P00037,10.7.5.37, LaserJet E50145,Production - Injection,PHCBQ6V01Z,c8:5a:cf:86:5a:f0,421,143,
P_0028,ISS1-P00038,10.7.5.38, LaserJet Mngd E50145dnm,Extrusion,PHCVMC3015,,452,546,
P_0029,ISS1-P00039,10.7.5.39, Color LaserJet MFP E87760,Finance,CNBBQD80HM,38:ca:84:38:33:65,488,798,
P_0030,ISS1-P00040,10.7.5.40, LaserJet E50145,Logistique - Ordo 3,PHCBQ6V013,c8:5a:cf:86:7a:b1,414,709,
P_0031,ISS1-P00041,10.7.5.41, LaserJet E40040,Comptabilité,PHCGG03557,f8:0d:ac:d3:ed:fd,414,709,
P_0032,ISS1-P00042,10.7.5.42, LaserJet E40040,Syndicat,PHCGG03576,,414,709,
P_0033,ISS1-P00043,10.7.5.43, LaserJet E50145,Achat,PHCBQ6V012,c8:5a:cf:86:7a:85,414,709,
P_0034,ISS1-P00044,10.7.5.44, LaserJet E40040,BTM - Jarlier,PHCGG03989,30-24-A9-06-2C-61,414,709,
P_0035,ISS1-P00046,10.7.5.46, Color LaserJet E55040,Extrusion - Barbat,JPBBQ6X014,84-69-93-30-F0-3B,414,709,
P_0036,ISS1-P00047,10.7.5.47, LaserJet E40040,BBI - Rollet,PHCGG03992,30-24-A9-06-2C-86,414,709,
P_0037,ISS1-P00049,10.7.5.49, LaserJet Managed E40040,IT - Bonhomme,PHCGG03571,,414,709,
P_0038,ISS1-P00050,10.7.5.50, LaserJet Managed E40040,Syndicat,PHCGG03990,,414,709,
P_0039,ISS1-P00051,10.7.5.51, Color LaserJet MFP E87760,Aquarium - Secrétaire Direction,CNBBR300RV,7C-57-58-2E-06-0B,414,709,
P_0040,ISS1-P00053,10.7.5.53, LaserJet E50145,Flatblade - Cabrita,PHCBQ6V011,C8-5A-CF-86-7A-95,414,709,
P_0041,ISS1-P00099,10.7.5.99, LaserJet Mngd E50145,POTON,PHCVNCY0BZ,,414,709,
P_0042,ISS1-P00045,172.16.4.61, LaserJet E50145,CEVA (Gefco),PHCBQ1Y0PF,,414,709,
P_0043,CANON,10.7.5.205,CANON,CAO,,A identifier,414,709,
P_0044,SHARP,10.7.5.228,SHARP BP-50M31,CE,3500572400,8C:52:19:13:ED:2E,414,709,
